epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3563,1.10566,9.84341,1.53748,0.85073,0.04762,0.0986,0.09079,0.69798,22.3752,1.17278,5.383e-05,5.383e-05,5.383e-05
2,61.5964,0.72222,4.43715,1.12004,0.09527,0.30952,0.1883,0.1569,0.54703,54.4077,1.09794,0.000113066,0.000113066,0.000113066
3,90.4124,0.70948,3.54748,1.07815,0.23677,0.4151,0.35633,0.26211,0.67446,17.1908,1.12501,0.000169866,0.000169866,0.000169866
4,118.034,0.74306,2.75596,1.1204,0.53034,0.42857,0.45719,0.40045,0.57044,7.72197,1.02914,0.00022423,0.00022423,0.00022423
5,144.837,0.59786,2.25195,1.02358,0.6009,0.568,0.62804,0.53994,0.59042,5.65831,1.05671,0.000276157,0.000276157,0.000276157
6,171.743,0.61663,2.11494,0.98914,0.1965,0.73358,0.28588,0.24398,0.62966,25.8164,1.06953,0.000325648,0.000325648,0.000325648
7,199.2,0.56384,2.00731,1.00097,0.4123,0.35714,0.31127,0.25831,0.6473,12.8257,1.06994,0.000372704,0.000372704,0.000372704
8,226.085,0.64376,1.52627,1.01757,0.6634,0.41247,0.55049,0.4253,0.71228,6.00076,1.10755,0.000417322,0.000417322,0.000417322
9,253.132,0.62699,1.54213,0.97622,0.66487,0.66149,0.75493,0.59311,0.81607,3.78883,1.19972,0.000459505,0.000459505,0.000459505
10,280.034,0.59593,1.34602,0.95351,0.67389,0.61905,0.69382,0.58444,0.70359,3.31297,1.08761,0.000499252,0.000499252,0.000499252
11,305.851,0.62444,1.38098,0.99144,0.74667,0.5,0.52229,0.47367,0.66071,4.15733,1.06228,0.000536562,0.000536562,0.000536562
12,331.29,0.62588,1.50412,1.01085,0.37617,0.23653,0.27367,0.25527,0.62508,12.4378,1.03456,0.000571436,0.000571436,0.000571436
13,356.912,0.57125,1.29318,0.97815,0.64193,0.54762,0.63872,0.56119,0.57517,5.83685,0.98621,0.000586286,0.000586286,0.000586286
14,382.579,0.53081,1.0636,0.94653,0.81148,0.61905,0.78237,0.6949,0.59132,2.75636,1.01839,0.000571059,0.000571059,0.000571059
15,408.713,0.66583,1.23241,0.97162,0.6509,0.71429,0.74585,0.68819,0.57454,2.26262,1.00549,0.000555833,0.000555833,0.000555833
16,434.377,0.54439,1.09175,0.92013,0.69039,0.53348,0.5817,0.54667,0.5127,2.35338,0.96784,0.000540607,0.000540607,0.000540607
17,461.014,0.81186,1.292,1.14028,0.65482,0.59328,0.57532,0.52126,0.461,2.13997,0.985,0.000525381,0.000525381,0.000525381
18,488.847,0.54284,1.01329,0.94426,0.75813,0.57143,0.57993,0.53686,0.46195,1.92266,0.99277,0.000510155,0.000510155,0.000510155
19,515.021,0.58946,1.15256,0.96548,0.47441,0.80952,0.77319,0.71058,0.49574,2.23068,0.9746,0.000494928,0.000494928,0.000494928
20,541.036,0.58362,1.26608,1.02863,0.52614,0.76277,0.77145,0.6648,0.61179,2.34243,1.0752,0.000479702,0.000479702,0.000479702
21,567.705,0.53478,0.89657,0.92226,0.73508,0.64576,0.6856,0.61965,0.69731,2.29188,1.19226,0.000464476,0.000464476,0.000464476
22,593.588,0.55219,0.88444,1.00324,0.85274,0.57952,0.77457,0.68521,0.60189,1.95095,1.08464,0.00044925,0.00044925,0.00044925
23,619.473,0.53327,0.81322,0.88218,0.89025,0.7338,0.80458,0.71805,0.64076,1.5236,1.14169,0.000434024,0.000434024,0.000434024
24,645.858,0.5751,0.77111,0.94255,0.90291,0.77052,0.83663,0.73095,0.6006,1.47265,1.07835,0.000418797,0.000418797,0.000418797
25,672.152,0.51416,0.78276,0.98034,0.86109,0.77155,0.81656,0.71874,0.57128,1.39616,1.03782,0.000403571,0.000403571,0.000403571
26,698.204,0.63195,0.90236,0.96824,0.84263,0.73483,0.80043,0.69838,0.59003,1.47354,1.06689,0.000388345,0.000388345,0.000388345
27,724.254,0.61757,0.97797,0.97472,0.75186,0.7828,0.81458,0.67314,0.62728,1.55227,1.09587,0.000373119,0.000373119,0.000373119
28,750.275,0.50822,0.80148,0.96336,0.73516,0.73182,0.80845,0.67262,0.63646,1.73036,1.1169,0.000357893,0.000357893,0.000357893
29,776.647,0.51882,0.659,0.90822,0.82432,0.74651,0.8534,0.69255,0.65057,1.48039,1.16953,0.000342666,0.000342666,0.000342666
30,802.112,0.49928,0.68758,0.93094,0.94424,0.74046,0.87257,0.72177,0.63077,1.19088,1.09302,0.00032744,0.00032744,0.00032744
31,827.88,0.51499,0.69396,0.94831,0.95006,0.73886,0.87553,0.76256,0.63241,1.15673,1.0933,0.000312214,0.000312214,0.000312214
32,853.918,0.46882,0.74614,0.94818,0.9323,0.68444,0.85043,0.76899,0.61119,1.18908,1.06808,0.000296988,0.000296988,0.000296988
33,880.455,0.50434,0.64313,0.94216,0.64838,0.79867,0.80797,0.74744,0.58107,1.30609,1.05004,0.000281762,0.000281762,0.000281762
34,906.693,0.48878,0.73843,0.88716,0.62825,0.79583,0.80026,0.74892,0.57308,1.39616,1.05578,0.000266535,0.000266535,0.000266535
35,932.923,0.45758,0.57391,0.92625,0.65857,0.77486,0.81795,0.75704,0.59347,1.36734,1.07848,0.000251309,0.000251309,0.000251309
36,959.077,0.44325,0.56473,0.89198,0.69985,0.76852,0.76405,0.70599,0.58749,1.32661,1.05238,0.000236083,0.000236083,0.000236083
37,985.089,0.41677,0.57768,0.92343,0.80952,0.76717,0.75978,0.69395,0.57283,1.23102,1.01126,0.000220857,0.000220857,0.000220857
38,1011.55,0.46011,0.66587,0.9484,0.85196,0.77075,0.76155,0.69812,0.57478,1.16502,1.01865,0.000205631,0.000205631,0.000205631
39,1037.74,0.50416,0.65058,0.98079,0.84191,0.794,0.75873,0.69603,0.56491,1.13463,1.00934,0.000190404,0.000190404,0.000190404
40,1064.01,0.48134,0.59376,1.0255,0.85618,0.80952,0.75789,0.6922,0.55394,1.14434,1.00219,0.000175178,0.000175178,0.000175178
41,1090.36,0.40726,0.63489,0.88043,0.83476,0.8058,0.75569,0.6916,0.54603,1.23166,0.99259,0.000159952,0.000159952,0.000159952
42,1116.53,0.36728,0.60828,0.82414,0.84503,0.78466,0.73728,0.67283,0.49755,1.28627,0.94401,0.000144726,0.000144726,0.000144726
43,1143.09,0.34163,0.77976,0.75966,0.83228,0.79134,0.7315,0.66345,0.48931,1.3041,0.93291,0.0001295,0.0001295,0.0001295
